JobTitle,Company,Location,Salary,PostDate,Summary,JobUrl
Research Analyst - Public Sector,Boston Consulting Group,"New Delhi, Delhi+1 location",NA,8 days ago,"As a Research Analyst within BCG’s Data and Research Service (DRS) function, you will ensure delivery of error-free and insightful research projects within our…",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DoP8nG612n6SaIo-6cBFZ4ajKscvbmOmjTSQxsFZrL9GCCvt0keq5zWU87ynD5AXBUp0MYmMGDRAaYR4I6K-ClLn5fvlt5gpBTQzcb-UTgJShcKz70hmSJFkayvZt7e4yaClBG9hD1n0Lj2VtXsEE4UvYKe40HAxOwiYuwoq9swg3MfACp6RiAIw5SrcKFvdwZKjV41KjSYw_-FGv-g1IfRszS6GSY7NmW7GUUjV-thz8PjvaofqYzPJgiOf6RSqC0TzdOogIuqmI4T056QY0dkfJhkP9LlEzM4oZSKxRIBAcadHpUfg65Cd75yhCPHfiAu5FvqdEFCC5DleCJKHl-R2U5LxxZa4XUaCJfNOMPnUqNnWeZY0v_BtV-91c5rm7ABuqYsitfFKDiXYFnXHli7OvzJ0wg8M0qxznaPluO49f6nML2_xpc9_sBb1zwyAI-VbnWaZvXdXRwaN-McAR9wKHqrJdZgkyTBqTPnsqDRVtNfTnJjtj98RMd8ERAzLWviI6OVzKR3v3y8zdwonc3ySTUQS_vkiuxHACg9DXhgiep5qhTkxLuVnZSY2EPQ21RVKoI2I8VKqnmOoVXYj4AExMI7IYKKBhyszVZXittmWZ6q8K1yjdR_Ub5J7hzblhyIEVfEPQqpEI4nhBAKcAHBVOxQIIIQ_7TqddY-xKsukEzWUEuKRDyCgp1BKMgQ9i6IQenl3ag92tIH0YOyH3hFwjYoLfvKXa_lpNczj32AwWDODrUm3B0O6E60Vq5uH8Vrl7s6oOEPAYkB7FnhmfC8pr1z7WRVmAq4_oIGG0viD8mgMNqbwJ85qytvP4uNbr2Y1bRTu4UTBimKyT6F-uuRl-kGXkaXUoVelTxLP0AceXcsc7Be5Dwl7V-WeEjtMixZwPDVb8oa0FgELkvXE15GGwCcsP5R1ylO-6rzuIQuTYzQgJ5svu9Yg8qGv1UB58yVjBa24oLYDmImhWWYtcSOA2lX9v-uErIT7-VTNjbrpn0iPQC7mIaw_NhG3rmu46BBh_LNfyhCVKTGSvQ2hs6eQhI3nF8Bt1BJrUt_9fFsWdYjcUB-dGcPZuKq5xaN_3lt9T04z9WWuUgKNmWi2kVtY-5parfsYhN2icSonR0hjGxfHfYmk1bVx3ySaGomGDa8HXB1UMdKA==&xkcb=SoCR-_M3QdztodQNIx0LbzkdCdPP&p=0&fvj=0&vjs=3
Senior Data Analyst,Lotus Interworks Inc,"Mumbai, Maharashtra","₹40,000 - ₹80,000 a month",3 days ago,"Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CjxIkUAm65iVK7RcxY5YHJNYrhEaFD2dNZgDNct8duGnX_UDdHrb_eu1j613HFACcgQ6xHLizmdgMiHfM1id1MEH4guormwLDMcSvYb5S1EsECwzlM7wDl6lQJx1eCSlwhUUFlWXuqGlS-tl3I2-m7kejhtboYscXV_WDMDDvsZtgsknybXu_TNAfLrBzSdlZ39JNjk92tIf2vPuwqITO0Qks7nyWMY4C-n8CFVB5XE8QDh6rwLkitJuEHznmpJhSusZOnInyEaQsqSBOsidukW4lpaYCSGW_hjbne8lTCsp8j1c-cKSKJnTWFd--WGCDncxK_U2752SuE84KHxjvxZyXJ7jsJbLXZYAj5-YcgDkKGXy4UijUU5kmMSYV6YGiSx4QtYc6TASqMnvBn6E-vu4TAU8LcOZaHJPjm3Z80zpsiTNs0uDvDBDeITNMNzWe70lPWnYolQELi2oZJrjH01yo447RMRoa0V8YdqBsaGKmBo3WwNlWjoCSt6uVMAVc=&xkcb=SoAl-_M3QdztodQNIx0KbzkdCdPP&p=1&fvj=1&vjs=3
EA-EH-MF-SWISS-Financial Reporting & Analysis -Associate Analyst,Deloitte,"Hyderabad, Telangana",NA,30+ days ago,"Associate Analyst for Swiss Financial Reporting & Analysis - Deloitte Support Services India Private Limited.
Conducting various ad-hoc reporting activities for…",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DIXU_djF9v0NrX_xbLRwj6RWFeuMEgTY6VvwKgvleOVNkZLBY5brOMPl_aYGto6wx_cQFJUpywuepN10IDfNoQ9OOOLvHimrf78ZjH-eTzjvhHCLnPPN4vlDyHFnDwMt4lMqJB6LPOWI86q82ge5nfWu5NQ00sbLFJyDMAITZpDUOhOUPzOavhbDVsvVOpjFYoq55iG0TKHFgrsqcWf34_6YXtpGPshe1vsvhNNXlku0KY8NROabBXGZ5sdYAeApGbAwnAvlbAJ-Un4QQRkZ5LKrqCurz6FdQ6Q4b42MOjTAEDpiqbwYQctO-fBmnvuaqdt5Eqo9RzMastHvjlbOG32p2zrOWf7-1tJ9kPSILSAMYkBYWAjJ5Hh1F0tHO8xV0J3BWpCi5BfJ5DzDJp1WoVNWT8tPogeVA3WBI0Qu7CpfPTBgrhqvhMX3xS-_JEtQLEWs2q6OME8Zn-zOd9Kyws2xKTjcJPOvsjGl20iyEecYmiuF9UorzOKArI60W9bjmTL-VDVKKtMDBtYlirACIdPOI81mW6qIPpllSpzJ1Qq551DL00XlGpvw62Sb01e0BKTwsTQ18_g3UxdvAqiK9yHLc5ez51mXlyJbUMqrXnDLAGYxaMAo3qt6jLsYilp12TLry7dN5aKg==&xkcb=SoC4-_M3QdztodQNIx0JbzkdCdPP&p=2&fvj=0&vjs=3
"Sr. Analyst 1, Business Transformation",CrowdStrike,"Pune, Maharashtra",NA,30+ days ago,"Proven working experience as a data analyst or business data analyst.
Acquire data from primary or secondary data sources and maintain databases/data systems.",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BJMW_X9OCLkZ04_weh8WkR-IGNb1MhigwTP7XGwrJOF0gEgxlmg9MTNWNfyy6JhdWSLXUHB1DM89GpNozQfLG3BRUhn8n48rp0ShnxR1Med4vNijjkbwj3wio52SFsa1J1kSBleFtUUrLOg-W9WJt8rIjRHxoEyhRp1D8dhpqEMkNPmdca6QJh1kR_gW6vIWDYiywpUmqvxFXzIIQvDJvND_CEyf8rL4s7iFGulDJVImx95uPrZk45FSM09FDUfLU8aOA5cX8rwFwfVvqiWLK35iv_HIgW_moxS8le14Iw-ALxiwRPAfrOFWiF8jqhvLdK0l9T72u-nDQAfXejvbOAMwvdv0mwdW7QQSfZhxZ7CCQBkEOXwhZkMz_tGgm8jmpNfC5sihgo33wDKEOTkbTyYvlfIYsFRxr6N4bvbH9Z9xChNlu1bYYve6CaAKEtz6CiSkPkXT_NFD2mZNf3kc4cDMHvFmpBhAl63LZs9odiIZggfVKXxc_DoeQnmvjsfx-6WPPiwinZjY1wVb-ebFRGB8hcW988ZA6FjyHfEVxzDoMHyA8RdiOHAtVWnzBnYuEXwBhMysE6uQMvhBV9HE1iOonB01Ks6zhlKMaQkk7N0YpgeG9hULKsX8mdBnZg6ptpD3mxXzzR6Q==&xkcb=SoAM-_M3QdztodQNIx0IbzkdCdPP&p=3&fvj=0&vjs=3
Data Analyst,Fernstop solutions,"Remote in Mumbai, Maharashtra+1 location","Up to ₹12,28,553 a year",6 days ago,"Developing and maintaining databases, and data systems – reorganizing data in a readable format.
Performing analysis to assess the quality and meaning of data.",https://in.indeed.com/company/FernStop-Solutions/jobs/Data-Analyst-de49bbd94a11f1a5?fccid=45c179b7e176c7d0&vjs=3
Data Analyst,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka",NA,8 days ago,"Education: Masters/Bachelors in Computers/Electrical / Electronics or Equivalent engineering –.
Strong programming skills in Python.",https://in.indeed.com/rc/clk?jk=2e7066db830162aa&fccid=9ab138c02aaca829&vjs=3
Big Data & AI Analyst,Vodafone,"Pune, Maharashtra",NA,Today,"Develops data set processes for data modelling, mining and production;
Researches opportunities for data acquisition and new uses for existing data;",https://in.indeed.com/rc/clk?jk=a7a870f5921bd209&fccid=374d720d3973ca1c&vjs=3
Assistant Data Analytics,Venturesathi Business Services LLP,"Raurkela, Orissa","₹3,00,000 - ₹5,00,000 a year",1 day ago,"At least 1-2 years of experience with proven experience in data analytics, data visualization, and data mining.
Job Types: Full-time, Regular / Permanent.",https://in.indeed.com/company/Venturesathi-Business-Services-LLP/jobs/Assistant-Data-Analytics-6d404ad04b12d89d?fccid=c31d5c319f1add5d&vjs=3
Data Analyst,MNR Solutions,"Bengaluru, Karnataka",NA,1 day ago,"5+ years of experience as a data analyst.
Experience in handling databases (SQL), BI tools, and data visualization tools.
Total work: 1 year (Preferred).",https://in.indeed.com/company/MNR-Solutions/jobs/Data-Analyst-01b51660f7dfe85e?fccid=553e818e45409ae8&vjs=3
Data Analyst,Coinfluence,"Remote in Pune, Maharashtra","Up to ₹12,00,000 a year",5 days ago,"A successful data analyst needs to have a combination of technical as well leadership skills.
Proven working experience in data analysis.",https://in.indeed.com/company/Coinfluence/jobs/Data-Analyst-01a1971a07031a13?fccid=3658618975d064e3&vjs=3
Data Analyst,Experian,"Mumbai, Maharashtra",NA,Today,"You perform tasks to analyze the data, safeguard our data quality and interpret the data in the right way.
3-5 years of experience in data-based & operations…",https://in.indeed.com/rc/clk?jk=ee90d2d2ea66074c&fccid=75a3a5a15b202084&vjs=3
Data Analyst Fresher,OneOnic Solutions,"Rajkot, Gujarat",NA,7 days ago,"Acquire data from primary or secondary data sources and maintain databases/data systems.
Develop and implement databases, data collection systems, data…",https://in.indeed.com/company/OneOnic-Solutions/jobs/Data-Analyst-5ea828a677fff386?fccid=3a28b3dd1e80a348&vjs=3
Data Analyst (Program),Educate Girls,"Indore, Madhya Pradesh","Up to ₹9,00,000 a year",1 day ago," Conduct periodic data quality assessments through pattern and outlier analysis.
0 to 2 yrs. experience in data analysis and report writing.",https://in.indeed.com/rc/clk?jk=f7e1da59f451d11b&fccid=fb837792897b90b6&vjs=3
Logistics Analyst Advisor,General Dynamics Information Technology,Remote,NA,22 days ago,"Analyzes standard contractual documents, technical data, customer usage data, customer maintenance practices, customer operation characteristics, and related…",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaadLeoGiMM4ILB2UJu2ZywBTtYYlvv0AGLB0hyNDguU1x2BHNhEPZvV4QGbgDc8NAz5cRI9nuXbRoQpXpr9A5v0OgCTkykSOhBwCvBgbSIcKXWaOmHxa6WA_js0TPzITNbCY-jqSAH-jOTExuBIDSZhScGgZryo9EhLKC4fP7mj4fJBLFaqO1HRhLMaoFRzC1XlHsX0ahX_5gYzn3k73k3pHT5653-lhi5x6PdXbFiR-HwYdGyUYW3QfCDg_D9omegxydt63VskY28qAmZvstIDvatsI3ShP6TwXxQYMPd1nn77giA-hlPQh0K_NIhjZQcpsGG-7VQljZrnjFU_i4jRK9fapwEltcGdVJwOFy8X7PclCmbx8z9tZ82NgOwAeESKoqd624NXACO1vSbsghTE6iCcNmfIevfFDEGBatze8CN6_YUs6G8TSUwleSKnzxmgYYjOjZMrW3ZemzgqVWoVV4jfXkN66p3KgxZCdu2ZH3Lj56WYoP2PNFLlI8DCIAj7BHmvQatz9P2l2_cy0uJooyLK9Kh8vWkdz-G6kMiw==&xkcb=SoBR-_M3QdztodQNIx0GbzkdCdPP&p=13&fvj=0&vjs=3
Data Analyst,Days Group of Company,"Chennai, Tamil Nadu","Up to ₹20,00,000 a year",4 days ago,"Experience in working on Data and Statistical Analysis.
Experience in working on Python and SQL.
Strong experience in Excel using Statistical functions.",https://in.indeed.com/company/Days-Group-of-Company/jobs/Data-Analyst-6e76b71e2efc9649?fccid=5c896758ab6cb561&vjs=3
Consumer Insights & Data Analytics,Traya Health,"Mumbai, Maharashtra","₹8,00,000 - ₹10,00,000 a year",30+ days ago,"Sole Owner of the website – Strategize, Plan, Execute, Measure multiple experiments across the website.
Build and maintain complex Business Intelligence models…",https://in.indeed.com/company/Traya-Health/jobs/Consumer-Insights-&-Data-Analytics-b72d2482f64fcbcd?fccid=94a318e2f2b653a1&vjs=3
Data Analyst associate,FedEx Express MEISA,"Mumbai, Maharashtra",NA,2 days ago,"Acts as a technical expert on complex and specialist subject(s).
Supports management with the analysis, interpretation and application of complex information,…",https://in.indeed.com/rc/clk?jk=2793fb62ea5f25a9&fccid=5c439b65a0bd045b&vjs=3
Data Analyst,Hatti Food and Beverages Pvt Ltd,"Bengaluru, Karnataka","₹25,000 - ₹40,000 a month",Just posted,"Use statistical methods to analyze data and generate useful business reports.
Work with departmental managers to outline the specific data needs for each…",https://in.indeed.com/company/HATTI-FOOD-&-BEVERAGES-PVT-LTD/jobs/Data-Analyst-7bb5f15ebe0632ed?fccid=1015337c64247fb9&vjs=3
"Data Analyst , Pune",prwatech,"Pune, Maharashtra+1 location","₹10,000 - ₹20,000 a month",3 days ago,"Working on python, sql and making technical documentation.
Working on projects and developing part.
Co ordinating with cleints on technical queirs.",https://in.indeed.com/company/prwatech-technologies/jobs/Data-Analyst-bc6489022455afea?fccid=0813ccde346809b2&vjs=3
Data Analyst,Wan Buffer Services,"Ahmedabad, Gujarat","Up to ₹25,000 a month",3 days ago,"Developing and maintaining databases and data systems – reorganizing data in a readable format.
Performing analysis to assess the quality and meaning of data.",https://in.indeed.com/company/Wan-Buffer-Services/jobs/Data-Analyst-cc868c410bedbeb4?fccid=75385f13fa0101b5&vjs=3
Data Analyst,Volvo Group,"Bengaluru, Karnataka",NA,6 days ago,"Build expertise in data sources to find, manage and simplify complex data.
Build information entities and data sets, extract and structure data using…",https://in.indeed.com/rc/clk?jk=44e4c3b3866cf606&fccid=0f63e537c80f169b&vjs=3
Data Analyst,Rivashaa Eco Design Solutions P Ltd,"Ahmedabad, Gujarat","From ₹11,208 a month",2 days ago,"Experience with A/B testing and data analysis.
Continuously monitor and analyze data to ensure accuracy and relevance.
Familiarity with CAN-SPAM regulations.",https://in.indeed.com/company/Rivashaa-Eco-Design-Solutions-P-Ltd/jobs/Data-Analyst-e7bbafc4c9f225d6?fccid=b2d7d01bee8ae9d0&vjs=3
Data Research Analyst,Solis Reality Pvt Ltd,"Gurgaon, Haryana","₹1,89,569 - ₹6,56,958 a year",3 days ago,"Analyze and interpret data to unearth weaknesses and problems, and comprehend the causes.
Formulate recommendations and solutions with attention to management…",https://in.indeed.com/company/Solis-Reality-Pvt-Ltd/jobs/Data-Analyst-68aa541bd2a5e241?fccid=81d0fc685edf5a7a&vjs=3
Data Analyst,PayU,"Hybrid remote in Bengaluru, Karnataka",NA,30+ days ago,"Experience in quantitative or statistical analysis, data mining, predictive or statistical modelling, applied programming, data management, data transformation,…",https://in.indeed.com/rc/clk?jk=e7c3351df71c05ca&fccid=c1bec49d1ea92b43&vjs=3
Data Analyst,BrainHap,"Mumbai, Maharashtra","From ₹20,000 a month",3 days ago,"As a *Neurophysiological data analyst* with a master's in neuroscience, your primary responsibility will be to analyze and interpret data related to the…",https://in.indeed.com/company/BrainHap/jobs/Data-Analyst-0df80213c481ddc8?fccid=71ed0d741a837556&vjs=3
Data Analyst,Fresh To Home,"Bengaluru, Karnataka",NA,30+ days ago,Need to own projects from conceptualization to execution • To be able to understand and analyze data to drive business insights.,https://in.indeed.com/rc/clk?jk=39bb8d15a3ac7dfc&fccid=d4e55efec06f38d4&vjs=3
Data Research Analyst,Fluidonomics Solutions LLP,"Pune, Maharashtra","₹1,78,053 - ₹4,20,000 a year",3 days ago,"Proven working experience as a data analyst or business data analyst.
Acquire data from primary or secondary data sources and maintain databases/data systems.",https://in.indeed.com/company/Fluidonomics-Solutions-LLP/jobs/Data-Analyst-bf9179ff1f893922?fccid=cab3f8c3740a190d&vjs=3
Data Analyst,Job Booster Social India,"Mumbai, Maharashtra","₹50,000 - ₹55,000 a month",26 days ago,"Monitor and audit the data quality.
Performing analysis to assess the quality and meaning of data.
Using automated tools to extract data from primary and…",https://in.indeed.com/company/Job-Booster-Social-India/jobs/Data-Analyst-67418e595e32a582?fccid=e32a00df44b3bec1&vjs=3
Logistics Analyst Advisor,General Dynamics Information Technology,Remote,NA,22 days ago,"Analyzes standard contractual documents, technical data, customer usage data, customer maintenance practices, customer operation characteristics, and related…",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaadLeoGiMM4ILB2UJu2ZywBTtYYlvv0AGLB0hyNDguU1x2BHNhEPZvV4QGbgDc8NAz5cRI9nuXbRoQpXpr9A5v0OgCTkykSOhBwCvBgbSIcKXWaOmHxa6WA_js0TPzITNbCY-jqSAH-jOTExuBIDSZhScGgZryo9EhLKC4fP7mpGjJuVvUfzDy7wZ3S_mbLVUx_m3re-tZjnXk-8kZFXIXz1xnxYzgWImuWdVSJbpoEJShAoDazktcmITuo8Hz61M6vgw-SCEMHXH1AodveiOXcHTyJyb1zzINfTwXqbr13fa_sOJ2LjlJ2aaXK-zoPhw92P-f-WK_YVobXCMRSgsL4-mIibB6y8K2RPafj0QTe7M4JgUAnz00ostCNVsvPMqtk9ap5eaBmpnzdZe-_V5is9owsKRHH8lboQsivXiwe6B3Y_vTi2tYCfRUzXBJCDKlSyh2GETqj4rn54PZ2ssuAUw7Hd_1W7frgr_85g85yohruGnj2Tll5ovKv9ZyzYyDXy6dMV19OA_wu2jBcKrl0jl0j_eryocrzd52REXUg==&xkcb=SoBJ-_M3QdzryIbeyx0GbzkdCdPP&p=13&fvj=0&vjs=3
Reference Data - Analyst,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",NA,3 days ago,"Create and execute SQL queries to pinpoint workflow issues, data content gaps and potential system processing errors.
Bachelor's degree or equivalent.",https://in.indeed.com/rc/clk?jk=de22a2976b095720&fccid=c46d0116f6e69eae&vjs=3
Analytics Analyst - Digital Marketing Analytics,Accenture,"Mumbai, Maharashtra+1 location",NA,1 day ago,"The Data Analytics and Interpretation team is responsible for inspecting, cleansing, transforming, and modeling data with the goal of discovering useful…",https://in.indeed.com/rc/clk?jk=ffdf2255908e0b38&fccid=a4e4e2eaf26690c9&vjs=3
Data Development Analyst,MANI WEB SOLUTIONS PVT LTD,"Mumbai, Maharashtra","₹25,000 - ₹35,000 a month",3 days ago,"Provide technical consulting to the customer category managers around the industry best practices of product data enhancement.
Total work: 2 years (Preferred).",https://in.indeed.com/company/MANI-WEB-SOLUTIONS-PVT-LTD/jobs/Data-Analyst-fed361ab88c666bf?fccid=954d9985fd64612a&vjs=3
Jr. Data Analyst,Gridscape,"Vadodara, Gujarat",NA,1 day ago,"Proficiency in database design development, data models, techniques for data mining, and segmentation.
Analyze data to identify problematic areas and suggest…",https://in.indeed.com/rc/clk?jk=23376e8e6211b3c7&fccid=f20c3797f432b3e6&vjs=3
Data Analyst,The TactTree,"Vadodara, Gujarat","₹10,080 - ₹12,074 a month",1 day ago,"Acquiring data from primary or secondary data sources and maintaining databases.
Developing and implementing databases and data collection systems.",https://in.indeed.com/company/The-TactTree/jobs/Data-Analyst-fbd4d0650a52ebeb?fccid=97a027b70b5bfff2&vjs=3
Data Analyst,Prepay Nation,India,NA,Today,"Prep data for reports and analysis.
Design data models and reports in Power BI.
Collaborate with team members to collect and analyze data.",https://in.indeed.com/rc/clk?jk=d63fa56cff5c8c36&fccid=dec8f1ed2b9cf67e&vjs=3
Data Analyst,TARGET,"Bengaluru, Karnataka",NA,4 days ago,"2 + years of proven working experience as a data analyst or business data analyst.
Technical expertise regarding data models, database design development, data…",https://in.indeed.com/rc/clk?jk=f7df2d5638cf56dc&fccid=15f43d82dc901ff2&vjs=3
Junior UAT Analyst,Citi,"Mumbai, Maharashtra",NA,Just posted,"Applies professional judgment when interpreting data and results.
Applies analytical thinking and knowledge of data analysis tools and methodologies.",https://in.indeed.com/rc/clk?jk=ac020918da205192&fccid=5bcd1ef0a7f4fb99&vjs=3
Alteryx Data Analyst,ANB Global,"Andheri, Mumbai, Maharashtra","₹10,000 a month",1 day ago,"Fully responsible for all master data objects in respective scope of materials, sales organization and pricing.
Perform end to end Data validation.",https://in.indeed.com/company/ARCON-TechSolutions/jobs/Data-Analyst-8c529d4c2e0febea?fccid=e73963f36533b91a&vjs=3
Data Analyst (Remote),Raazi Clinical Laboratory,"Remote in Hyderabad, Telangana","₹40,000 - ₹45,000 a month",22 days ago,"Enter the patient demographics data into LIS (Laboratory information system).
Review the chromatography patient data generated by LC-MS/MS (Liquid…",https://in.indeed.com/company/Raazi-Clinical-Laboratory/jobs/Data-Analyst-1a7f1ed31c1848e0?fccid=4907805d7ecc0d6f&vjs=3
Data Analyst,S&P Global,"Hyderabad, Telangana",NA,13 days ago,S&P Global Market Intelligence partners with customers to broaden their perspective and operate with confidence by bringing them leading data sources and…,https://in.indeed.com/rc/clk?jk=115e83446905e08a&fccid=b716e44d2c6283e7&vjs=3
Data Analyst (Content Creator),Trivium Education Services Pvt. Ltd,"Remote in Delhi, Delhi","From ₹1,500 a day",3 days ago,"At least 3 years’ experience working as a data analyst, data scientist, or other data-f7used role.
Experience setting data analytics project requirements and…",https://in.indeed.com/company/Trivium-Education-Services-Pvt.-Ltd/jobs/Content-Writer-dd282a2d3d653b9b?fccid=e6fc9e6808f95522&vjs=3
Quality Analyst,iDreamCareer,"Vasant Kunj, Delhi","₹4,00,000 - ₹5,00,000 a year",Today,"Basic skills in data analysis, such as summarizing data, interpreting data and identifying patterns in data using Excel/Google Sheets.",https://in.indeed.com/company/iDreamCareer/jobs/Quality-Analyst-313dbdeafc867934?fccid=6dc473dd4652209d&vjs=3
Data Analyst,Open Secret,"Mumbai, Maharashtra","₹4,00,000 - ₹4,50,000 a year",3 days ago,"Compile and analyze data related to business' issues.
Use data to analyze and evaluate, transform data and insights into business recommendations, communicate…",https://in.indeed.com/company/Open-Secret/jobs/Data-Analyst-405a7861b3994796?fccid=9c5de7503ba75f8b&vjs=3
Logistics Analyst Advisor,General Dynamics Information Technology,Remote,NA,22 days ago,"Analyzes standard contractual documents, technical data, customer usage data, customer maintenance practices, customer operation characteristics, and related…",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaadLeoGiMM4ILB2UJu2ZywBTtYYlvv0AGLB0hyNDguU1x2BHNhEPZvV4QGbgDc8NAz5cRI9nuXbRoQpXpr9A5v0OgCTkykSOhBwCvBgbSIcKXWaOmHxa6WA_js0TPzITNbCY-jqSAH-jOTExuBIDSZhScGgZryo9EhLKC4fP7mgS6nrDrOouWwiRVtZ_whxAZ1h0D7rBbejtP8qXLtfHtsnic1LGG1evTizTPDcwN5y1SJLXk133wrJrqkNTLme4DLKVjsGgji2qWCFNRurd89wN-HuC6DVYlwhYbayN5rbYjCSabYECNKCkczukl5QUPSQJNF_B7lpCYnr66-hrDisHVhTVv88Hp5XSrdGX-kPvtDH2KsScILY7FBblJGorZGnzadh11uJdeZiDn_7gHN2FYr0cYwShP8ACC7BVCZADpg8MwtzcJu4qmi0EVpgFZPWfD-aBKPg4lcvgfKWSdLVlPSqNp34N5yudlWvXCmEZXmvkMFz1gONuIZXjiKs4GIGSbdNvKyuCsc7OMtMLkEI6wfbJZKVwnfeV7FnXZVA==&xkcb=SoB6-_M3QdzqpDWygZ0GbzkdCdPP&p=13&fvj=0&vjs=3
Data - Analytics for NVH Domain,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka",NA,1 day ago,"Understanding of data structures, data modelling, and software architecture.
Must have excellent knowledge and programming capability using Python(3.x) for time…",https://in.indeed.com/rc/clk?jk=749d2b41dbd4ceb5&fccid=9ab138c02aaca829&vjs=3
Data Analyst,Hitachi Energy,"Chennai, Tamil Nadu",NA,5 days ago,"Responsible for testing software applications or systems software.
Develops and executes test plans and scripts designed to detect problems.",https://in.indeed.com/rc/clk?jk=d9d6bbbd76778bb1&fccid=8774bcbf6844c59c&vjs=3
Data Analyst,Gridlogic,"Remote in Gurgaon, Haryana",NA,30+ days ago,"Provide quality data, and work with data engineers to ensure data moves in reliably.
Interpret data and analyze results using statistical techniques.",https://in.indeed.com/rc/clk?jk=64fd98485efe622a&fccid=3fe48533ae9fe92d&vjs=3
Business Analyst Intern,Soul Society,"Remote in Bengaluru, Karnataka","₹5,000 - ₹8,000 a month",5 days ago,"Working with operational, finance and technical teams across the organization to develop sound business cases and drive measurements of actions to continuously…",https://in.indeed.com/company/SOUL-Society/jobs/Business-Intern-20db4c93c15d2efd?fccid=8a0f5204f37b7f8d&vjs=3
Data Analyst - PowerBI,Simform Solutions Pvt. Ltd.,"Ahmedabad, Gujarat",NA,7 days ago,"Connecting data sources, importing data, and transforming data for business intelligence.
Import the data model from the data warehouse into the semantic layer…",https://in.indeed.com/company/Simform-Solutions-Pvt.-Ltd./jobs/Data-Analyst-96ed2b1ee04e0a3f?fccid=b27be9aac0cc37eb&vjs=3
Data Analyst,Airtel India,"Gurugram, Haryana",NA,30+ days ago,"Develop, organize, manage and maintain graph, table, slide and document templates that will allow for efficient creation of reports and Dashboards.",https://in.indeed.com/rc/clk?jk=241db0c8fc063c32&fccid=bb95ccf807a8406a&vjs=3
Data Research Analyst,fluid.live,"Remote in Pune, Maharashtra","Up to ₹4,50,000 a year",1 day ago,"Proven working experience as a data analyst or business data analyst.
Acquire data from primary or secondary data sources and maintain databases/data systems.",https://in.indeed.com/company/fluid.live/jobs/Data-Analyst-dc224ac05beb558a?fccid=299c1318616019f2&vjs=3
"Data & Analytics Analyst, AVP",NatWest Group,"Delhi, Delhi+3 locations",NA,8 days ago,"Good knowledge of data engineering, data science and decisioning disciplines.
Strong knowledge of data management practices and principles.",https://in.indeed.com/rc/clk?jk=4ad450bb5d17e246&fccid=4a3a2b1eb3ec0691&vjs=3
Passionate Data Analyst,LogisticsNow,"Mumbai, Maharashtra",NA,30+ days ago,"Experience with data analytics: analyse mountains of data in minutes and live deadlines.
Solve the data problem at scale.",https://in.indeed.com/rc/clk?jk=dc31ef4dfe5cc3a1&fccid=531af5efc7c07cf1&vjs=3
Power BI/Tableau Specialist - Data Analyst,Mace,"Gurgaon, Haryana",NA,12 days ago,"The data analyst will connect, cleanse, maintain, report on, and evaluate data.
Addressing data quality issues, such as data gaps or biases in underlying data…",https://in.indeed.com/rc/clk?jk=23bea9c9ef5c0331&fccid=19c4e64c30a969a6&vjs=3
Logistics Analyst Advisor,General Dynamics Information Technology,Remote,NA,22 days ago,"Analyzes standard contractual documents, technical data, customer usage data, customer maintenance practices, customer operation characteristics, and related…",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaadLeoGiMM4ILB2UJu2ZywBTtYYlvv0AGLB0hyNDguU1x2BHNhEPZvV4QGbgDc8NAz5cRI9nuXbRoQpXpr9A5v0OgCTkykSOhBwCvBgbSIcKXWaOmHxa6WA_js0TPzITNbCY-jqSAH-jOTExuBIDSZhScGgZryo9EhLKC4fP7mgsdXpFTyPrDkgmaTrRqupBM3FF2h6Q4l86GIQ3wmT3bcQmTQz5G_GReT5fwEqa-YCdM0XB9PtSYSo_jMX3WaIFS0DbYgVPiG1KUseU9L1dtbrsKnjj3SgjWxJQ083uA6ANVBXdznGje39Rbqhol-RYVlmHb6NvuYPjGgLXqpDbKwYuZlJMDvHN3PwvxhqvYctdO27dgHUXRzC_4NPqQpKW8uEF7EbtVokkI_pIVPtU6VFgINty3fGMbM-F1GWYgQF5ShwgBvOjICLQpkvsnJlWbvu_Z1yh2NhbjnY-7qr2MeZL2rMH4bpmEFMusvJG6QKxUquMzDh6YtOa4p36hzVz5MIQ3ltEvsF6GHNupQu7W5IWXmeERd4Ohx-pO8T3K-g==&xkcb=SoDH-_M3QdzpVdbezJ0GbzkdCdPP&p=13&fvj=0&vjs=3
