JobTitle,Company,Location,Salary,PostDate,Summary,JobUrl
Software Assessment Analyst,Blupace,Remote,"From ₹8,000 a day",14 days ago,"The role of the Software Assessment Analyst is to research, review, assess, and document risk tolerance of 3rd party software titles.",https://in.indeed.com/company/Blupace/jobs/Software-Analyst-738213752ae13ba0?fccid=bb967b6f7369912d&vjs=3
Digital Marketing Analyst,Growstats Media Pvt Ltd,"Pune, Maharashtra","₹12,000 - ₹25,000 a month",Today,Analyze data and measure the success of campaigns to make data-driven decisions and optimize campaign performance.,https://in.indeed.com/company/Growstats-Media-Pvt-Ltd/jobs/Digital-Marketer-b2873c16e838c35c?fccid=1743f2b1f0002834&vjs=3
Logistics Analyst Advisor,General Dynamics Information Technology,Remote,NA,22 days ago,"Analyzes standard contractual documents, technical data, customer usage data, customer maintenance practices, customer operation characteristics, and related…",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaadLeoGiMM4ILB2UJu2ZywBTtYYlvv0AGLB0hyNDguU1x2BHNhEPZvV4QGbgDc8NAz5cRI9nuXbRoQpXpr9A5v0OgCTkykSOhBwCvBgbSIcKXWaOmHxa6WA_js0TPzITNbCY-jqSAH-jOTExuBIDSZhScGgZryo9EhLKC4fP7mrz9Hj-FKEIZ1JenOgPC9Y7YAyF6erbKXJlEQa0sQko8xRPJxkV6DhIf_CIr5fVuwr8UmXsOHDJyPw0Aq-E1IUfYu9wUf_MkswLCe6Yt5vbKwYxNaepTjyltvABbRhQjHlHkNwqiTHfTleiZp38oH4sYc_JwOihGxu5--ynaxSVTr7JkL-hD8gX_dJj7Ar6VKhwJmo4LsKjDky8ShQKFPs50xjfOR025dF707dJKw7C3tQFlAHL1KaxuOc37-XZqSKdjlDNyAR1T2OHhumgj44dotZCget2C4HVY-sJvBB2XuR_PSsyXuU0iTF0wAbtS_3nURP770avefPv7AMnjPyOWU-THoWSL3dQ08-HL4o-xJq91F8FN6GZEFK8j2NHyfQ==&xkcb=SoDs-_M3Qdz2wrgT4T0GbzkdCdPP&p=13&fvj=0&vjs=3
Data Analyst,Qurium Solutions Inc,"Hyderabad, Telangana",NA,20 days ago,Research and decide which data source is correct when two or more data sources have different information for the same data point.,https://in.indeed.com/rc/clk?jk=d4e82b2ba65a0235&fccid=e6e9206aee178aa0&vjs=3
Analyst - Data Analytics,TIAA,"Mumbai, Maharashtra+1 location",NA,30+ days ago,"Design metrics, develop data analytics framework from data collection, database, model preparation and data visualization based on business requirement and ETL…",https://in.indeed.com/rc/clk?jk=ecc235ef7f82dd31&fccid=ee5ba787b9f4e31a&vjs=3
Data Analyst,Toolyt,"Bengaluru, Karnataka","₹15,000 - ₹30,000 a month",30+ days ago,"Proven working experience as a data analyst or business data analyst.
Acquire data from primary or secondary data sources and maintain databases/data systems.",https://in.indeed.com/rc/clk?jk=9e6dd15f01ac0c1f&fccid=7c44a6b6336c0e5d&vjs=3
"Lead Manager, Data Management & Quantitative Analysis",BNY Mellon,"Pune, Maharashtra+1 location",NA,1 day ago,"Oversees the implementation of new data related technology enhancements / implementations.
Oversees the management and mining of databases, data feeds, etc.",https://in.indeed.com/rc/clk?jk=5dbaba6f533eada5&fccid=b4048be2884af072&vjs=3
Research Analyst,Manlitics B2B ITES,"Hinjawadi, Pune, Maharashtra","₹15,000 a month",4 days ago,"Excellent skills to search data on LinkedIn , Hoover's , Zoom Info, etc.
To identify and gather correct business contacts.",https://in.indeed.com/company/manlitics-b2b-ites/jobs/Research-Analyst-a701be0213036777?fccid=8c706664e91d9948&vjs=3
Data Analyst,AaNeel Infotech,"Ahmedabad, Gujarat",NA,30+ days ago,"Maintain the health of data sources, and data collection systems through stringent data quality check and process improvements.",https://in.indeed.com/rc/clk?jk=c152cc2d1cb25f7d&fccid=99f4169ca3ebcba8&vjs=3
Sales data Analyst,Monotech Systems Limited,"Ahmedabad, Gujarat","₹20,000 - ₹25,000 a month",3 days ago,"Ø Analyze and interpret sales data to identify trends and opportunities.
Ø Prepare performance reports based on data from the sales and inventory management…",https://in.indeed.com/company/MONOTECH-SYSTEM/jobs/Data-Analyst-35fe4bc4bedae729?fccid=ae4a5e25e00b0a94&vjs=3
Business Analyst - Team Lead (Mumbai),Paytm,"Mumbai, Maharashtra+1 location",NA,4 days ago,"Identifying data needs and driving data quality improvement projects.
Evangelizing data driven decision making within the team and to business & product owners.",https://in.indeed.com/rc/clk?jk=e5b12bdcf1877f17&fccid=4e917d9a3b14765d&vjs=3
Business Analyst,IKEA,"Hyderabad, Telangana",NA,1 day ago,"1-3 years’ experience in data analysis, developing metrics and projections based on analysis results.
Perform data analysis to identify trends, opportunities,…",https://in.indeed.com/rc/clk?jk=4910d58eeca765d0&fccid=af17ea0d1d6bbbba&vjs=3
Data Analyst,TRADELINK,"Jaipur, Rajasthan","₹1,80,000 - ₹3,00,000 a year",22 days ago,"Good Knowledge of Microsoft Excel/Google Sheets.
Jaipur, Rajasthan: Reliably commute or planning to relocate before starting work (Required).",https://in.indeed.com/company/TRADELINK/jobs/Data-Analyst-299ab30b37fdf77d?fccid=8274e9c73a102203&vjs=3
Logistics Analyst Advisor,General Dynamics Information Technology,Remote,NA,22 days ago,"Analyzes standard contractual documents, technical data, customer usage data, customer maintenance practices, customer operation characteristics, and related…",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaadLeoGiMM4ILB2UJu2ZywBTtYYlvv0AGLB0hyNDguU1x2BHNhEPZvV4QGbgDc8NAz5cRI9nuXbRoQpXpr9A5v0OgCTkykSOhBwCvBgbSIcKXWaOmHxa6WA_js0TPzITNbCY-jqSAH-jOTExuBIDSZhScGgZryo9EhLKC4fP7mpfOj7IEOAxK8ReBoM0AFV2PjbquTE_RSC9R9fS6uLHpx-L0dzvoAWwCDeN6yQIMLgchE4Q2R7zzhioh0cT04Z3ym4GxFibWsu_VeCuZ6Onweq9SjM-iXkK0w4TgHlYnrdCfMM49lRw-khR7P8fSzNNFds9hlr2ERPQ8Iix1cx0IANOg5dX9zpDha5xhVFbNtREx3qVphbndks4ZIk5sz3uCDXCT9W0Va024QPtcWSy-07NFlBRCxbbUv-23F_8ZuxgAeXjsId1aM8GUIPjCgJwd5G24qDY84DX4CnrXOw3TR41UH-6PVYzdR9FNyRyetKW9EF2MYnsHM0ZqMOzxdRoG1HRKQubAaNv3y2_jmsuE99eNAOf14qxVKOJfUgxBSA==&xkcb=SoDH-_M3Qdz1uNwsUR0HbzkdCdPP&p=12&fvj=0&vjs=3
Business Analyst,Antino Labs,"Gurgaon, Haryana","₹4,00,000 - ₹7,00,000 a year",1 day ago,"Excellent communication skills, with an ability to translate data into actionable insights.
Drive awareness of requirements across business units and identify…",https://in.indeed.com/company/Antino-Labs/jobs/Business-Analyst-db2183289700ea64?fccid=7a274369650c81a8&vjs=3
VP Data and Analytics Generic Global JPMC,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",NA,22 days ago,"10+ years of analytics experience preferably in the banking domain.
Experience in leading small to mid sized teams.",https://in.indeed.com/rc/clk?jk=60ce2b4901864cdf&fccid=c46d0116f6e69eae&vjs=3
Data Analyst / Web Researcher,MyVirtualDesks,"Pune, Maharashtra",NA,30+ days ago,"We are looking for Freshers / Expereinced candidates proficient in Information analysis, Web Research, Internet research, lead generation and CRM data entry to…",https://in.indeed.com/rc/clk?jk=f4eb8117e2940137&fccid=c10855523664826f&vjs=3
Business Insights Analyst,Hyringninja,+1 locationRemote,"₹17,54,460 - ₹20,65,522 a year",3 days ago,"Data cleaning, quality assurance, and investigating potential issues with a variety of data sets.
Programming and/or knowledge in: SQL, R, Python, SAS and other…",https://in.indeed.com/company/HyringNinja/jobs/Business-Analyst-082eb07a8892a53e?fccid=5eab5d26ab83bf9c&vjs=3
Data Analyst - Finance,TUI,Tamil Nadu,NA,Today,"Supporting Group data automation projects.
Strong problem-solving skills and experience with optimizing and automating data processes.",https://in.indeed.com/rc/clk?jk=458cc8b9e7c2b4be&fccid=8852e4785c7f0abe&vjs=3
